#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
-10000	-10000	40.49	32.82	39.67	33.75	24.44	333.27	13	-6.82	0.852	-23.34	-62.14	-100.00	-30.20	64.19	-10000	
-10000	-10000	42.43	36.09	41.28	35.93	31.07	326.41	12	-1.48	0.558	-8.22	-40.96	0.52	-9.69	63.83	-10000	
301.89	0.849	45.90	45.21	37.58	41.29	43.40	307.55	13	7.71	0.685	-3.91	-41.48	-100.00	3.80	62.80	5.86	
307.69	0.954	51.92	51.57	40.87	48.58	48.88	307.55	13	4.83	0.623	-6.27	-42.43	-100.00	-1.45	62.80	6.25	
307.69	0.955	54.86	54.52	43.57	52.72	50.51	307.55	13	3.82	0.599	-8.59	-37.26	-100.00	-4.78	62.80	8.84	
307.69	0.907	54.83	54.25	45.81	53.40	49.04	307.55	13	4.40	0.637	-7.74	-26.91	-100.00	-3.34	62.80	10.98	
307.69	0.821	48.62	47.95	40.17	47.33	42.37	319.87	12	2.69	0.657	-3.61	-33.96	-100.00	-0.92	63.48	-10000	
301.89	0.605	34.27	34.06	21.10	29.65	32.31	333.27	12	9.23	0.619	-10000	-49.82	-100.00	9.23	64.19	-10000	
-10000	-10000	22.17	22.10	4.35	16.39	20.80	-10000	1	18.71	0.715	-10000	-68.12	-100.00	18.71	-10000	-10000	
-10000	-10000	2.45	2.32	-13.15	2.38	-10000	-10000	1	15.71	0.824	-10000	-90.50	-100.00	15.71	-10000	-10000	
-10000	-10000	2.43	-6.35	1.81	0.69	-10000	-10000	1	-11.24	0.674	-2.30	-86.73	-100.00	-17.78	-10000	-10000	
-10000	-10000	32.94	27.94	31.29	31.40	18.80	319.87	13	-7.00	0.799	-12.51	-59.18	-100.00	-22.87	63.48	-10000	
-10000	-10000	39.94	38.08	35.36	35.76	36.02	340.27	12	0.36	0.321	-19.21	-33.67	-100.00	-18.85	64.55	-10000	
333.33	0.871	48.76	47.99	40.82	37.86	47.63	333.27	12	14.37	0.647	-6.53	-42.93	-100.00	7.84	64.19	-1.17	
333.33	0.928	51.87	51.31	42.75	44.41	50.38	333.27	13	7.85	0.526	-8.35	-33.04	-100.00	-0.51	64.19	-0.43	
333.33	0.975	55.33	54.90	45.09	50.58	52.95	333.27	13	3.28	0.744	-8.75	-35.80	-100.00	-5.48	64.19	-3.02	
333.33	0.979	55.96	55.53	45.66	52.12	52.94	333.27	13	1.83	0.714	-7.67	-32.33	-100.00	-5.83	64.19	-2.63	
333.33	0.942	53.43	52.79	44.80	47.92	51.16	333.27	13	5.65	0.719	-7.41	-36.84	-100.00	-1.76	64.19	-10000	
326.53	0.848	47.81	46.77	41.10	40.73	45.67	326.41	12	9.16	0.628	-5.07	-39.15	-100.00	4.09	63.83	-10000	
-10000	-10000	40.26	39.68	31.20	39.61	25.00	-10000	0	0.88	0.603	-7.45	-39.14	-100.00	-6.57	-10000	-10000	
-10000	-10000	34.28	34.07	21.08	34.08	-10000	-10000	0	-2.21	0.894	-10.20	-67.61	-100.00	-12.41	-10000	-10000	
-10000	-10000	0.41	0.26	-14.30	0.26	-10000	-10000	1	-5.95	0.914	-4.21	-105.07	-100.00	-16.04	-10000	-10000	
-10000	-10000	19.73	17.68	15.50	17.76	-4.06	-10000	1	-2.18	0.738	-3.64	-68.21	-100.00	-11.41	-10000	-10000	
-10000	-10000	34.74	33.34	29.13	33.49	4.23	-10000	0	-4.92	0.646	-10.86	-47.25	-100.00	-20.61	-10000	-10000	
-10000	-10000	41.24	40.38	33.80	40.47	15.83	-10000	0	-0.62	0.520	-18.53	-34.99	-100.00	-24.75	-10000	-10000	
-10000	-10000	47.58	46.89	39.29	44.80	43.45	319.87	12	9.21	0.681	-25.79	-37.75	-100.00	-16.57	63.48	-10000	
313.73	0.914	54.73	54.06	46.25	51.81	51.07	313.65	13	10.16	0.717	-16.27	-40.88	-100.00	-6.11	63.14	-10000	
313.73	0.960	56.06	55.13	48.88	52.86	52.48	313.65	13	10.93	0.697	-19.37	-32.65	-100.00	-8.45	63.14	-19.13	
313.73	0.898	54.64	53.57	48.04	51.71	50.45	307.55	13	7.37	0.711	-16.94	-43.95	-100.00	-9.57	62.80	-15.15	
307.69	0.860	50.17	48.81	44.48	47.54	44.82	307.55	13	6.42	0.732	-10.05	-38.04	-100.00	-3.62	62.80	-10000	
-10000	-10000	40.01	38.43	34.85	37.50	33.71	313.65	13	7.59	0.720	-14.24	-47.32	-100.00	-6.65	63.14	-10000	
-10000	-10000	25.71	25.05	17.18	24.38	17.72	-10000	0	6.55	0.807	-2.00	-66.90	-100.00	4.55	-10000	-10000	
-10000	-10000	-6.86	-7.39	-16.35	-7.27	-10000	-10000	1	3.33	0.923	-1.75	-114.52	-100.00	1.58	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-18.00	-24.75	-19.04	-24.31	-10000	-10000	1	-7.48	0.874	-1.01	-123.00	-100.00	-14.44	-10000	-10000	
-10000	-10000	37.37	36.70	28.97	36.80	-10000	301.75	13	-13.75	0.835	-14.50	-57.21	-100.00	-31.84	62.47	-10000	
-10000	-10000	43.74	43.08	35.25	43.03	27.70	301.75	12	-6.92	0.604	-8.26	-35.77	-100.00	-15.69	62.47	-10000	
-10000	-10000	44.93	43.47	39.49	39.81	41.17	275.75	13	9.03	0.800	-10.63	-50.85	-100.00	-1.60	60.91	-54.58	
266.67	0.866	51.39	50.59	43.63	46.95	48.30	271.16	13	9.25	0.779	-12.16	-41.98	-100.00	-2.90	60.62	-28.93	
266.67	0.912	54.62	54.08	45.34	51.47	50.87	266.66	13	9.37	0.799	-17.36	-39.11	-100.00	-8.00	60.33	-25.01	
262.30	0.961	55.93	55.53	45.34	40.78	55.48	262.23	13	10.93	0.775	-21.21	-78.28	-100.00	-10.28	60.04	-20.10	
262.30	0.942	55.21	54.85	44.22	39.77	54.80	262.23	13	8.87	0.756	-21.00	-60.51	-100.00	-12.13	60.04	-19.76	
258.06	0.930	53.17	52.75	42.90	38.20	52.67	258.02	13	5.67	0.702	-18.35	-57.69	-100.00	-12.69	59.76	-18.27	
258.06	0.888	48.82	48.31	39.26	32.78	48.25	253.88	13	1.54	0.658	-12.79	-59.05	-100.00	-11.25	59.48	-10000	
-10000	-10000	40.01	39.24	32.09	36.31	36.24	249.96	13	-0.07	0.750	-8.81	-50.48	-100.00	-8.89	59.21	-10000	
-10000	-10000	18.52	16.64	13.97	7.38	16.35	-10000	1	-2.20	0.744	-4.80	-79.00	-100.00	-7.00	-10000	-10000	
-10000	-10000	-34.72	-39.03	-36.78	-38.17	-10000	-10000	1	-0.10	0.962	20.68	-157.68	-100.00	-6.34	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-8.80	-11.95	-11.67	-10.05	-10000	-10000	1	-8.86	0.433	4.04	-82.61	-100.00	-21.65	-10000	-10000	
-10000	-10000	27.04	24.45	23.55	25.34	11.32	-10000	1	-0.85	0.810	-4.29	-66.21	-100.00	-6.42	-10000	-10000	
-10000	-10000	45.31	43.15	41.23	44.10	37.75	219.11	13	-3.27	0.709	-11.49	-40.05	-100.00	-14.76	56.93	-10000	
210.53	0.681	53.83	51.40	50.14	52.82	45.95	210.43	12	-4.53	0.676	-14.03	-29.46	-100.00	-18.57	56.23	-10000	
207.79	0.801	53.79	52.24	48.56	52.41	47.52	207.77	13	-0.82	0.631	-20.61	-48.64	-100.00	-21.44	56.01	-25.45	
207.79	0.854	53.11	52.12	46.18	51.50	47.41	207.77	12	1.51	0.670	-22.83	-30.46	-100.00	-21.32	56.01	-18.81	
205.13	0.791	51.14	50.22	43.95	48.90	46.82	205.03	13	4.43	0.692	-24.70	-34.26	-100.00	-20.27	55.78	-16.06	
202.53	0.850	48.72	47.42	42.83	46.32	44.48	202.44	13	3.95	0.638	-24.06	-41.40	-100.00	-20.12	55.56	-16.34	
202.53	0.694	45.16	43.11	40.91	43.69	39.16	197.48	12	0.57	0.643	-16.42	-36.91	-100.00	-15.85	55.13	-10000	
195.12	0.674	37.34	35.33	33.03	36.01	31.31	205.03	13	-1.51	0.743	-7.48	-50.30	-100.00	-8.99	55.78	-10000	
190.48	0.712	24.90	24.52	14.15	19.24	23.48	-10000	1	5.76	0.601	4.45	-59.43	-100.00	5.76	-10000	-10000	
197.53	0.834	21.29	20.96	10.03	7.61	20.85	-10000	1	22.65	0.538	10.28	-68.51	-100.00	22.65	-10000	-10000	
195.12	0.536	31.10	27.06	28.92	27.55	24.72	-10000	6	-2.02	0.773	2.09	-60.91	-100.00	-2.02	-10000	-10000	
186.05	0.723	43.96	37.67	42.80	42.90	30.17	-10000	0	-7.69	0.836	-5.76	-51.21	0.48	-13.45	-10000	-10000	
186.05	0.849	41.56	35.93	40.18	39.95	34.05	183.83	12	-5.58	0.671	-7.01	-42.07	-100.00	-12.58	53.89	-10000	
186.05	0.875	35.60	32.00	33.10	32.12	31.34	183.83	13	2.10	0.841	-5.89	-62.53	0.84	-3.79	53.89	-10000	fr
186.05	0.856	32.74	30.31	29.06	27.33	29.82	183.83	13	2.88	0.820	-8.30	-65.16	0.81	-5.41	53.89	-10000	fr
186.05	0.817	30.34	27.80	26.80	22.53	27.44	183.83	13	7.29	0.717	-8.98	-62.10	-100.00	-1.68	53.89	-10000	fr
179.78	0.905	29.16	25.66	26.58	21.89	25.19	183.83	12	5.61	0.526	-5.55	-53.78	-100.00	0.06	53.89	-10000	fr
179.78	0.948	29.77	24.20	28.35	25.53	23.14	-10000	1	-3.33	0.678	-1.23	-56.86	-100.00	-4.56	-10000	-10000	
177.78	0.902	29.94	22.30	29.12	24.82	20.23	-10000	1	-1.78	0.654	3.87	-56.32	-100.00	-1.78	-10000	-10000	
177.78	0.828	29.59	21.12	28.92	23.03	17.71	-10000	1	-1.70	0.570	7.38	-54.34	-100.00	-1.70	-10000	-10000	
175.82	0.711	35.01	24.98	34.56	27.90	15.37	-10000	1	-8.80	0.556	8.21	-48.91	-100.00	-8.80	-10000	-10000	
172.04	0.603	39.15	24.12	39.02	27.40	5.78	-10000	1	-12.51	0.505	3.18	-47.52	-100.00	-17.02	-10000	-10000	
205.13	0.436	40.77	22.16	40.71	25.85	7.82	-10000	1	-15.64	0.604	0.79	-52.95	-100.00	-21.68	-10000	-10000	
195.12	0.560	39.64	20.78	39.58	23.00	-4.75	-10000	1	-13.86	0.617	6.05	-56.38	-100.00	-22.26	-10000	-10000	
183.91	0.549	37.15	18.38	37.09	20.43	-8.06	-10000	1	-6.44	0.638	-5.98	-59.93	-100.00	-23.38	-10000	-10000	
183.91	0.490	34.68	20.25	34.52	21.09	-12.19	-10000	1	5.90	0.685	-10.38	-61.68	-100.00	-22.56	-10000	-10000	
188.24	0.317	31.41	12.96	31.35	15.74	-17.45	-10000	1	-2.96	0.483	-8.60	-58.43	-100.00	-28.31	-10000	-10000	
68.09	0.520	32.06	9.76	32.03	12.62	-19.78	-10000	1	-14.41	0.529	-1.65	-63.16	-100.00	-25.64	-10000	-10000	
68.38	0.589	32.08	11.13	32.04	13.50	-19.11	-10000	1	-17.95	0.460	-6.05	-59.91	-100.00	-30.16	-10000	-10000	
66.67	0.618	32.55	9.93	32.53	12.78	-19.97	-10000	1	-8.96	0.445	-7.77	-60.15	-100.00	-27.30	-10000	-10000	
58.61	0.617	34.01	11.07	33.99	14.52	-10000	-10000	1	-9.67	0.519	-10.93	-60.90	-100.00	-32.96	-10000	-10000	
68.38	0.489	32.58	11.95	32.55	16.49	-10000	-10000	1	-11.55	0.582	-20.49	-61.37	-100.00	-35.75	-10000	-10000	
75.83	0.346	35.50	13.86	35.47	17.59	-10000	-10000	1	-16.59	0.433	-15.78	-54.97	-100.00	-33.04	-10000	-10000	
-10000	-10000	35.74	18.28	35.66	20.43	6.88	-10000	1	-12.57	0.721	-19.45	-64.45	0.42	-35.67	-10000	-10000	
-10000	-10000	37.44	19.96	37.36	21.26	-12.83	-10000	1	-18.06	0.533	-15.65	-54.67	0.34	-38.64	-10000	-10000	
48.34	0.684	37.74	20.32	37.66	21.27	-10000	-10000	1	-22.37	0.417	-17.38	-50.81	-100.00	-39.75	-10000	-10000	
-10000	-10000	40.45	20.14	40.41	21.29	-10000	-10000	1	-17.26	0.607	-18.48	-57.64	-100.00	-36.10	-10000	-10000	
-10000	-10000	42.14	24.29	42.07	24.98	-10.50	-10000	1	-19.92	0.634	-18.79	-55.19	-100.00	-38.71	-10000	-10000	
-10000	-10000	40.06	24.24	39.94	25.11	-12.51	-10000	1	-16.74	0.640	-19.06	-55.34	-100.00	-35.80	-10000	-10000	
-10000	-10000	30.73	17.64	30.51	18.35	-10000	-10000	1	-9.57	0.638	-14.63	-62.01	-100.00	-30.24	-10000	-10000	
-10000	-10000	6.09	-1.10	5.16	-0.84	-10000	-10000	1	-8.58	0.848	-9.09	-96.27	-100.00	-29.48	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-100.00	-100.00	-100.00	-90.00	-10000	-10000	1	-90.00	-1.000	-100.00	-152.71	-100.00	-100.00	-10000	-10000	
-10000	-10000	-8.01	-10.63	-11.44	-10.14	-10000	-10000	1	3.54	0.839	-4.61	-104.57	-100.00	-2.91	-10000	-10000	
-10000	-10000	17.25	14.08	14.39	8.76	13.01	-10000	1	9.07	0.747	-13.28	-77.82	-100.00	-4.21	-10000	-10000	
99.38	0.368	27.00	24.65	23.22	24.92	-10000	-10000	1	11.47	0.701	-5.80	-58.76	-100.00	5.67	-10000	-10000	
-10000	-10000	35.47	32.45	32.46	27.35	31.77	271.16	12	5.59	0.664	-3.31	-54.30	-100.00	2.28	60.62	-10000	
275.86	0.870	38.55	36.43	34.42	30.29	35.93	285.63	12	8.98	0.582	-10000	-47.57	-100.00	8.98	61.52	-10000	
280.70	0.958	40.20	39.26	33.09	31.13	38.85	280.57	13	14.67	0.601	-10000	-49.71	-100.00	14.67	61.21	-10000	
285.71	0.968	41.93	41.26	33.51	28.92	41.13	285.63	13	17.40	0.553	-10000	-61.23	-100.00	17.40	61.52	45.58	
290.91	0.960	43.05	42.52	33.64	29.29	42.45	290.80	13	14.49	0.476	-10000	-59.56	-100.00	14.49	61.83	47.34	
