#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
216.22	0.864	45.29	44.81	35.51	39.53	43.45	213.24	13	13.77	0.708	-7.67	-44.56	-100.00	6.09	56.46	-10000	
210.53	0.901	44.35	43.74	35.49	38.26	42.77	210.43	13	9.81	0.755	-6.78	-48.88	-100.00	3.03	56.23	-10000	
207.79	0.937	42.73	42.12	33.86	36.41	41.24	207.77	13	8.85	0.718	-5.08	-50.87	-100.00	3.68	56.01	-10000	
210.53	0.920	38.46	37.96	28.82	31.93	37.06	210.43	13	9.42	0.682	-2.39	-50.68	-100.00	7.04	56.23	-10000	
207.79	0.849	33.80	33.23	24.73	24.23	32.85	213.24	13	15.47	0.664	-1.74	-57.42	-100.00	13.73	56.46	-10000	
-10000	-10000	28.23	26.24	23.88	21.35	24.84	-10000	0	13.57	0.708	1.39	-62.74	-100.00	13.57	-10000	-10000	
168.42	0.284	11.21	9.40	6.36	9.61	-10000	-10000	1	13.07	0.767	1.45	-78.40	-100.00	13.07	-10000	-10000	
-10000	-10000	-51.40	-52.01	-66.02	-52.01	-10000	-10000	1	16.50	0.940	-0.08	-163.59	-100.00	16.42	-10000	-10000	
-10000	-10000	-21.93	-29.72	-22.74	-26.97	-10000	-10000	1	-8.53	0.814	3.49	-118.89	-100.00	-11.23	-10000	-10000	
-10000	-10000	17.63	11.78	16.32	13.91	-10000	-10000	1	-1.87	0.868	-12.95	-83.97	-100.00	-14.82	-10000	-10000	
-10000	-10000	38.05	32.15	36.76	35.97	22.68	-10000	0	-9.88	0.830	-7.72	-57.52	-100.00	-17.60	-10000	-10000	
